beban_roda_depan(%),percepatan_lateral(m/s),percepatan_aksial(m/s),sudut_kemiringan_bt(rad),stabilitas,label_stabilitas
0.2582426724854822,0.9132766686822424,0.6546233946131385,0.8890899957038503,16.710470706324248,Berbahaya
0.2339857375042889,0.9125225155989404,0.6517463495274595,0.9898211286804904,19.495486218769187,Berbahaya
0.2153237574908837,0.9119222621586742,0.6501829677097727,0.9897626791888904,19.492615435950835,Berbahaya
0.2051639314095079,0.0310597065095247,0.6492477165732701,0.8873607706918023,15.651836720967315,Berbahaya
0.2065013546175876,0.9115680436017108,0.6475680683993008,0.8869206823446457,15.676983468887496,Berbahaya
0.2226830450503253,0.0335525032684069,0.6441542215035729,0.8865812443395034,15.987853368154454,Berbahaya
0.2572052631345411,0.0387194314950483,0.6389756085480356,0.8863560190930116,16.688680137698253,Berbahaya
0.3129773438687349,0.0453707220845898,0.632855731100681,0.9895995573723804,32.67066712329116,Berbahaya
0.3910068535191049,0.0520058691820461,0.6273131904677112,0.8862705071099146,45.500573759951266,Hati-Hati
0.4888593479677868,0.0567320475313065,0.6240811815208652,0.9896145473573588,46.895470343865846,Hati-Hati
0.5996276985988144,0.0575710792944942,0.6240082663004222,0.9896376218294894,46.2197531510442,Hati-Hati
0.7123764749809764,0.9137810782855796,0.6261376971684509,0.8869427480711131,61.91077214056887,Hati-Hati
0.8147715069601107,0.042794654647743,0.6281508935754414,0.8873123139204011,50.595666480048,Hati-Hati
0.8969417867107701,0.0298201286889026,0.6280427004189476,0.8877330697191742,49.290606846477594,Hati-Hati
0.9542236685747528,0.0199840931794311,0.6255659855575804,0.8882114170805833,48.56520086422103,Hati-Hati
0.987289900121039,0.0200283509361696,0.6227482244426744,0.8887633178761479,48.949977759875416,Hati-Hati
1.0,0.0330778668446901,0.6230855995357186,0.8894014118036477,50.295475338614864,Hati-Hati
0.9965539071070868,0.0559023020811066,0.6292388239739007,0.8901250842079605,51.689788638067945,Hati-Hati
0.9797758709346228,0.0807224321261093,0.6413140105974945,0.8909208465198443,52.329584673309284,Hati-Hati
0.9511957807182696,0.9184645469775948,0.6575129823487563,0.8917708560208585,58.092461597641886,Hati-Hati
0.9120586761359908,0.1088109314849324,0.6759104513766052,0.990240495084685,51.25607286514532,Hati-Hati
0.8641834930398204,0.1073925248312838,0.6954952547984786,0.8935885782964514,48.78606801106988,Hati-Hati
