beban_roda_depan(%),percepatan_lateral(m/s),percepatan_aksial(m/s),sudut_kemiringan_bt(rad)
0.2582426724854822,0.9132766686822424,0.6546233946131385,0.8890899957038503
0.23398573750428894,0.9125225155989405,0.6517463495274595,0.9898211286804903
0.21532375749088373,0.9119222621586742,0.6501829677097727,0.9897626791888904
0.20516393140950792,0.031059706509524755,0.6492477165732701,0.8873607706918023
0.20650135461758762,0.9115680436017108,0.6475680683993008,0.8869206823446457
0.22268304505032532,0.033552503268406926,0.6441542215035729,0.8865812443395034
0.2572052631345411,0.03871943149504838,0.6389756085480356,0.8863560190930116
0.31297734386873494,0.04537072208458983,0.632855731100681,0.9895995573723803
0.39100685351910497,0.05200586918204613,0.6273131904677112,0.8862705071099146
0.4888593479677868,0.0567320475313065,0.6240811815208652,0.9896145473573587
0.5996276985988144,0.05757107929449425,0.6240082663004222,0.9896376218294894
0.7123764749809764,0.9137810782855795,0.6261376971684509,0.8869427480711131
0.8147715069601107,0.042794654647743006,0.6281508935754414,0.8873123139204011
0.8969417867107701,0.029820128688902624,0.6280427004189476,0.8877330697191742
0.9542236685747527,0.019984093179431194,0.6255659855575804,0.8882114170805833
0.987289900121039,0.02002835093616965,0.6227482244426744,0.8887633178761479
1.0,0.03307786684469011,0.6230855995357186,0.8894014118036477
0.9965539071070869,0.05590230208110665,0.6292388239739007,0.8901250842079605
0.9797758709346227,0.08072243212610936,0.6413140105974945,0.8909208465198443
0.9511957807182697,0.9184645469775948,0.6575129823487563,0.8917708560208585
0.9120586761359909,0.1088109314849324,0.6759104513766052,0.990240495084685
0.8641834930398204,0.10739252483128388,0.6954952547984786,0.8935885782964514
0.8101272508980321,0.9182623423553805,0.7160158796653099,0.8945511116938488
0.7527249826371591,0.08320213178943914,0.7373136765212969,0.9905292078136945
0.6947473185457886,0.06693193708689665,0.7590411993799533,0.8965770248460029
0.6390173000158019,0.05181157131573569,0.7808195912121909,0.8976252833507262
0.5884564972768076,0.04001198041657717,0.8022708056639751,0.8986811224272472
0.5456447520818181,0.03278157782682451,0.8228864721200144,0.990947485482852
0.5120633036266224,0.030433439783386532,0.842128698634082,0.9007656421399853
0.48762082120047784,0.03250591998787065,0.859683055234899,0.007982157257120396
0.47085855082538086,0.03775688873036642,0.8754793856519145,0.017674290801364435
0.45954578587927797,0.044173381005919866,0.8894846840751034,0.026866768421389277
0.45131793845103435,0.049542045335679026,0.0,0.03543339142659041
0.4443221926829165,0.05237678491137202,0.912170754754631,0.04327899826552735
0.43777424726123493,0.05235113331910634,0.19875979557010617,0.05036393556629829
0.4320806904744154,0.05000132341206626,0.2868378597887709,0.05670207305816887
0.42826603646422773,0.046257442736587176,0.9389733493992182,0.062341207368091435
0.4270832770415712,0.9997551983957499,0.45729822905384676,0.06733863268882374
0.42856348514598047,0.038863455644103546,0.5352439923481815,0.07174336223546114
0.4321067611451354,0.03719956150786338,0.603234463458934,0.07559150998700981
0.4365948912123535,0.037670876234576905,0.6606062439194371,0.07890850617232074
0.4405058013372308,0.040033970957296654,0.7088232716653082,0.08170832090170124
0.4423959715215434,0.043370475845572534,0.7487275093901825,0.08399135911568345
0.4415615633184061,0.9131385847637654,0.7800950108652562,0.08575109934950455
0.43834425546055217,0.04861338490591507,0.8029569698415245,0.08698649901448427
0.43385101520394964,0.049072085013545666,1.0,0.08770573462359131
0.42927157251836306,0.04785260114633474,0.825563950601434,0.08792308996511652
0.4252318215711965,0.9130205030986611,0.8275251162614468,0.08766176780220729
0.4216353803192602,0.042217566369186686,0.825835031247046,0.08695993931238771
0.4180504104902484,0.03902381013194681,0.8209015419157524,0.08586802776649864
0.41408461647874556,0.03628634590436272,0.8096906650717615,0.08443611794260807
0.4093657870713792,0.03449885645303778,0.9804342299898483,0.08270242537343038
0.40358314507437515,0.03396687389005667,0.7531820036646831,0.9090436143685391
0.3969121809923346,0.03452955791776754,0.7073816149443058,0.07843085407356531
0.3902226968811495,0.0355605594908479,0.6532539102820989,0.07594174634667718
0.38452494762197514,0.036286683899144544,0.5927672669433762,0.07325250547520115
0.3800831857230247,0.03612694177544845,0.5266755190282696,0.07038892837262796
0.3760977222875115,0.034854507276925656,0.4553880896262282,0.0673749736542687
0.37133453660852944,0.03259351271696666,0.3795615692452803,0.06422518253367285
0.36504082364191387,0.029696098834680457,0.3007710860594531,0.06094036707881331
0.3572230806691355,0.026561170355926603,0.22219331023815975,0.057520371611122154
0.3483068438666537,0.023548004400627005,0.1476639901999117,0.05398117533140435
0.338815277624556,0.02106092453803692,0.07974132984215992,0.05035666695629398
0.32943992546783596,0.019627642934157315,0.018867698462777013,0.04668540008584614
0.3213243449482263,0.019767133603261187,0.8980345065445398,0.04299547400804452
0.31591347870468295,0.02171376258356848,0.8928292135275759,0.03929415369365106
0.31413113117357655,0.025257629776783606,0.8874449804021606,0.03556095931051493
0.31566520351600547,0.0298422126732749,0.881301056790583,0.03174950096806102
0.31908389829012523,0.03478121201681672,0.8740891277274089,0.903754877300374
0.3224618284879605,0.9124236435104331,0.8660355616819341,0.02369517829745335
0.3239594016432945,0.04302259922049247,0.8576894545231465,0.019422309666119655
0.32227174775267636,0.045176321940365166,0.8495135147107341,0.01502987011176118
0.3169375264968944,0.04557197459300254,0.8417934892072284,0.010587255733417043
0.3085350538630012,0.04421991042344209,0.8347745134392563,0.0061758620867624235
0.29870917820610304,0.041495459440265156,0.8286153816198522,0.0018726545669283546
0.2896776615386469,0.03820676123920162,0.823197982741817,0.9007473790401345
0.28331921571694096,0.03546223986228009,0.8181742401997057,0.9003508903265488
0.28053729395886756,0.034305585595096354,0.81325668478553,0.8999700684758938
0.28127554265725996,0.035333267590344226,0.8083266500033143,0.899599960122166
0.2848653592326984,0.038544773092145844,0.9819849563290467,0.899233670756577
0.2902318647733138,0.04351568904085333,0.7980256947503748,0.8988639844722371
0.29603861158222994,0.9134526355097367,0.7924631718158798,0.8984848926434764
0.3010397613746948,0.05638144629696819,0.7866527004429238,0.8980922703950727
0.30453917262168373,0.06277653926252191,0.7806930494050809,0.8976841372014067
0.3067292606857994,0.06786869673385681,0.9791211292279672,0.8972610078361194
0.3085827479656167,0.07089854914721237,0.7685484290376143,0.8968261753609439
0.3112168601131384,0.07175459897111391,0.7623906459510732,0.89638541856531
0.31532300933801677,0.07096105776581059,0.7562129308059667,0.8959454290852032
0.32113677059485296,0.06925353043656275,0.9766488286111215,0.8955111456227715
0.32863480702392617,0.06727261975111268,0.7432952237484344,0.8950840813266412
0.33753168299590103,0.06558389622423648,0.736130874625636,0.9904406272285946
0.3472288696332083,0.06471768571954903,0.9745086297284669,0.8942466496144917
0.3569184357912191,0.06505616350661736,0.7207064746492918,0.8938325244384486
0.36567277878435095,1.0,0.7127701995276917,0.8934168564059589
0.37252571361461156,0.06919164992287519,0.7047213632456768,0.8929924940688229
0.37666070708415106,0.07183846519066105,0.6966107199137845,0.8925494823820901
0.37747268530637823,0.07353196244414775,0.6887170917600478,0.8920770480279807
0.37442915766756996,0.07319652734856191,0.681708396090445,0.9999874134604002
0.3670858716945785,0.07010019970906829,0.6763641215727763,0.8910180926989111
0.3554510020506204,0.06418944356221253,0.6729890023960342,0.8904366635997699
0.3404260888963638,0.05625083769161578,0.6712344214871004,0.8898372213024042
0.3237789783502052,0.047786794712719606,0.6702801523046067,0.8892395884280165
0.30745394924768077,0.04073706405743352,0.6690893844382813,0.8886662373020946
0.2928022719321035,0.036997661350390496,0.6668248209506661,0.8881394999329961
0.2804093951913062,0.03765644836867114,0.6630314438050114,0.8876787008249873
0.27054894800897183,0.04248828416212938,0.6572878995319895,0.8872976614598522
0.26385726105473334,0.0501210355791438,0.649156790079152,0.8870030773914596
0.2617734571237431,0.9143317698998079,0.6387917518460438,0.8867943753813508
0.2664473285466373,0.06530903543372667,0.9643857218049772,0.8866661176733472
0.28021975526667087,0.06919775463360525,0.6165370329654916,0.8866119095603214
0.30512649844793654,0.07008435758443766,0.6086510603457228,0.8866265258449375
0.3426138818469997,0.06894342247516577,0.6054792622561815,0.8867052160428806
0.39315557446890864,0.06693054110817008,0.6081653431089816,0.886842149410868
0.4556214186759751,0.06470930611355775,0.9633505973029991,0.8870291279981243
0.5267074164932583,0.06208237711566753,0.6306099476147394,0.8872546427620213
0.6009384067527155,0.05813082544857699,0.9662647178863318,0.8875047831959189
0.6717878463481813,0.05204452288705071,0.6592459671673238,0.887767290791186
0.7336736158916543,0.044336824844781506,0.6665185940437874,0.8880370733865376
0.7834461807785662,0.03767969423110313,0.6665216120582139,0.8883197510768586
0.820380281492227,0.03628530619265372,0.6609433727106265,0.9898373317224509
0.8450989959300312,0.043371712883706885,0.6540464754552178,0.888985488569779
0.8584341086608986,0.05846124666428349,0.6503306085060844,0.8893962858903743
0.8609844751767682,0.07726510564168886,0.9668505689492489,0.8898629530057184
0.8534991909773059,0.09425964575404101,0.6581359118673739,0.8903770503252492
0.8374142939903215,0.10541071847841599,0.968311757238968,0.8909249465338523
0.815010438612676,0.10927085673177894,0.67514291706502,0.8914913300423194
0.7892887275765462,0.10653373422616023,0.6832248681925227,0.8920621932390673
0.7635550829997848,0.0988658855867296,0.691307800003529,0.9902369969775795
0.7407523095343941,0.08803197216159539,0.7000045640409119,0.8931792666115238
0.7229470516163111,0.0758473392387996,0.7094569991179536,0.8937185269547895
0.7110856829399416,0.0643565655127012,0.7193812680514741,0.894247259759707
0.7048864802344627,0.055521875411365974,0.72920855981667,0.8947677275548617
0.7030701416265936,0.050642502349726344,0.7382941339631092,0.895278713728045
0.703889201088276,0.9134872802064754,0.7462861456402582,0.8957752123434257
0.7055188809251445,0.05297095220743272,0.7533037430151186,0.8962501314601484
0.7064898042091351,0.05794099298616266,0.759721379871122,0.8966965401160744
0.7063096139081022,0.914771684401053,0.7657826478573588,0.897109387039665
0.7054809518066901,0.06577455022146461,0.7713914008578832,0.8974863924677667
0.7046158368357877,0.0655490050884871,0.7763136630731744,0.8978286776175357
0.7035654848368635,0.062304006876008414,0.7805576424930054,0.8981407574272521
0.7013536967287264,0.05694445369509073,0.7844325909891331,0.8984289959775635
0.6968361019292544,0.05049243639403273,0.788290455099251,0.8986997224647872
0.6894542703070461,0.043848033646517945,0.7923846584142199,0.898958949341878
0.6793732735853899,0.037899420587000306,0.7969246690837728,0.8992128535695499
0.6671329553161315,0.033539803852855564,0.8020812416654519,0.8994670435322624
0.6536318711167507,0.03145671840327322,0.8078769579856381,0.8997250645658575
0.6403382306008539,0.9116708796935649,0.9999617086110606,0.8999875762915701
0.6289067725944094,0.9996775511269607,0.8200297499973119,0.9002527131944529
0.620284109443894,0.03845152389560118,0.8254358602542103,0.9005171347557533
0.6141348225674171,0.043021646545360274,0.8301406761224956,0.9007763307105111
0.6090479517491983,0.04702736895018005,0.8341692735597322,0.0005013548026362958
0.6033242812645769,0.9134258640012941,0.8375997028041604,0.0028121828734368427
0.5957026604950139,0.04946433865766318,0.8406311637598833,0.004913022041338537
0.5854369019403648,0.04699963314369287,0.8434842416985073,0.9016536007430327
0.5720789485093923,0.912725299916832,0.8462692606403931,0.00846819260105992
0.5557968233888703,0.03658808057444946,0.8490502855985996,0.9019724005322322
0.5378583885947693,0.030677256766152763,0.8518988440519235,0.011391098681810225
0.520257175607449,0.025675204044066462,0.8548127749924517,0.012762498521115112
0.5046598507142301,0.0223395790244555,0.8576877431475444,0.014150756573519
